local_filename,local_version,local_name,sha256_16char,classification,exact_ledger_match,other_ledger_versions
"20260412235959_historical_baseline_pre_cutover.sql","20260412235959","historical_baseline_pre_cutover","1b3b5cf39c2c9ec8","A_EXACT_MATCH","20260412235959",""
"20260413_add_confirmed_answers.sql","20260413","add_confirmed_answers","c22d4aedbddd5f2f","A_EXACT_MATCH","20260413",""
"20260414000001_conflict_check.sql","20260414000001","conflict_check","2b561f99680261aa","A_EXACT_MATCH","20260414000001",""
"20260414000002_custom_domain.sql","20260414000002","custom_domain","4788d23f0e7da0b4","A_EXACT_MATCH","20260414000002",""
"20260414000003_intake_firms_location.sql","20260414000003","intake_firms_location","e37118049ae3ccc8","A_EXACT_MATCH","20260414000003",""
"20260414000004_j10_re_engagement.sql","20260414000004","j10_re_engagement","b51231c7f6c5ff58","A_EXACT_MATCH","20260414000004",""
"20260414000005_j11_j12_relationship_nurture.sql","20260414000005","j11_j12_relationship_nurture","86bfde789c67ff4e","A_EXACT_MATCH","20260414000005",""
"20260414000006_j2_consultation_reminders.sql","20260414000006","j2_consultation_reminders","f7984637da8838c4","A_EXACT_MATCH","20260414000006",""
"20260414000007_j7_welcome_onboarding.sql","20260414000007","j7_welcome_onboarding","e0e339252232f70c","A_EXACT_MATCH","20260414000007",""
"20260414000008_j8_matter_active.sql","20260414000008","j8_matter_active","614d7205df01c6bd","A_EXACT_MATCH","20260414000008",""
"20260414000009_j9_review_request.sql","20260414000009","j9_review_request","565c153bb0f54f9f","A_EXACT_MATCH","20260414000009",""
"20260414000010_journey_sequences.sql","20260414000010","journey_sequences","4035e45107d7a9aa","A_EXACT_MATCH","20260414000010",""
"20260414000011_portal_clio.sql","20260414000011","portal_clio","8140f216a9525ac8","A_EXACT_MATCH","20260414000011",""
"20260414000012_retainer_agreements.sql","20260414000012","retainer_agreements","636ead5dc49d7115","A_EXACT_MATCH","20260414000012",""
"20260415000001_dashboard_columns.sql","20260415000001","dashboard_columns","33e4b451f3824070","A_EXACT_MATCH","20260415000001",""
"20260415000002_dashboard_v2.sql","20260415000002","dashboard_v2","72aef6c897ec337e","A_EXACT_MATCH","20260415000002",""
"20260415000003_leads_intake_session_id.sql","20260415000003","leads_intake_session_id","49f59f325bba00d0","A_EXACT_MATCH","20260415000003",""
"20260417000001_round3_memo.sql","20260417000001","round3_memo","1fbff74883aaab47","A_EXACT_MATCH","20260417000001",""
"20260417000002_sub_type_conflicts.sql","20260417000002","sub_type_conflicts","3360f1cca085e58c","A_EXACT_MATCH","20260417000002",""
"20260418000001_matter_routing.sql","20260418000001","matter_routing","c9103a807bfabefd","A_EXACT_MATCH","20260418000001",""
"20260418000002_retainer_fks.sql","20260418000002","retainer_fks","eda6217191b48899","A_EXACT_MATCH","20260418000002",""
"20260418000003_storage_intake_attachments.sql","20260418000003","storage_intake_attachments","b7c54464821c793c","A_EXACT_MATCH","20260418000003",""
"20260421_intake_sessions_practice_sub_type.sql","20260421","intake_sessions_practice_sub_type","c002e3cb21989a4d","A_EXACT_MATCH","20260421",""
"20260423000001_leads_cpi_explainability.sql","20260423000001","leads_cpi_explainability","0caf1c129e052295","A_EXACT_MATCH","20260423000001",""
"20260423000002_leads_scoring_model.sql","20260423000002","leads_scoring_model","6a9cf00dc62ef4c7","A_EXACT_MATCH","20260423000002",""
"20260423000003_rls_hardening.sql","20260423000003","rls_hardening","d038fdf109a4c667","A_EXACT_MATCH","20260423000003",""
"20260423000004_rls_hardening_fix.sql","20260423000004","rls_hardening_fix","ed1cc815c4991b5c","A_EXACT_MATCH","20260423000004",""
"20260423000005_rls_hardening_sweep.sql","20260423000005","rls_hardening_sweep","691a88c28a9b8e01","A_EXACT_MATCH","20260423000005",""
"20260429_band_x_check_constraint.sql","20260429","band_x_check_constraint","f70861ba2c11bc9f","A_EXACT_MATCH","20260429",""
"20260505000001_firm_decline_templates.sql","20260505000001","firm_decline_templates","910488312c895212","A_EXACT_MATCH","20260505000001",""
"20260505000002_screened_leads.sql","20260505000002","screened_leads","3a82e132e08334c3","A_EXACT_MATCH","20260505000002",""
"20260505000003_screened_leads_dashboard_indexes.sql","20260505000003","screened_leads_dashboard_indexes","ef49cdd049ae1914","A_EXACT_MATCH","20260505000003",""
"20260505000004_webhook_outbox.sql","20260505000004","webhook_outbox","9e3812ad66892c6c","A_EXACT_MATCH","20260505000004",""
"20260506000001_firm_lawyers.sql","20260506000001","firm_lawyers","41c4cf5fbe5f7f1f","A_EXACT_MATCH","20260506000001",""
"20260506000002_firm_files.sql","20260506000002","firm_files","67efccc35e2c9b9e","A_EXACT_MATCH","20260506000002",""
"20260506000003_pg_cron_pg_net_setup.sql","20260506000003","pg_cron_pg_net_setup","bb52fdf1f4f80784","A_EXACT_MATCH","20260506000003",""
"20260512_intake_language_and_raw_transcript.sql","20260512","intake_language_and_raw_transcript","6e3eb02456487a48","A_EXACT_MATCH","20260512",""
"20260513000001_firm_onboarding_intake.sql","20260513000001","firm_onboarding_intake","ed9409b464ab57c6","A_EXACT_MATCH","20260513000001",""
"20260513000002_cron_health_rpc.sql","20260513000002","cron_health_rpc","99197a55a77e765a","A_EXACT_MATCH","20260513000002",""
"20260513000003_firm_onboarding_access_grant_status.sql","20260513000003","firm_onboarding_access_grant_status","519e09d45c5c3248","A_EXACT_MATCH","20260513000003",""
